rank_test_score,mean_test_score,std_test_score,mean_train_score,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__sublinear_tf,param_model__C
1,0.9140690295854517,0.034869391501115794,0.9975818484142568,"(1, 2)",1,True,1.0
2,0.9139174115955855,0.021568565807643526,0.9975818484142568,"(1, 1)",1,False,1.0
2,0.9139174115955855,0.021568565807643526,0.9975818484142568,"(1, 1)",1,True,1.0
4,0.9118928391092613,0.03586969092108178,0.9975818484142568,"(1, 2)",1,False,1.0
5,0.904079501095137,0.023493364298569727,1.0,"(1, 2)",1,False,10.0
5,0.904079501095137,0.023493364298569727,1.0,"(1, 2)",1,True,10.0
7,0.899556312336788,0.007719195660865919,1.0,"(1, 1)",1,False,10.0
7,0.899556312336788,0.007719195660865919,1.0,"(1, 1)",1,True,10.0
9,0.8843137445300183,0.015857365881415824,0.9806008130136069,"(1, 1)",2,False,1.0
9,0.8843137445300183,0.015857365881415824,0.9806008130136069,"(1, 1)",2,True,1.0
11,0.8779427626803212,0.020236773764342412,0.9810143970163718,"(1, 1)",1,False,0.1
11,0.8779427626803212,0.020236773764342412,0.9810143970163718,"(1, 1)",1,True,0.1
13,0.87143949906794,0.022337052695296837,0.9872168879768793,"(1, 2)",2,False,10.0
14,0.8703529072496409,0.02323490526236796,0.9872168879768793,"(1, 2)",2,True,10.0
15,0.8694753451513829,0.026313671224478412,0.984269913751473,"(1, 2)",2,False,1.0
15,0.8694753451513829,0.026313671224478412,0.984269913751473,"(1, 2)",2,True,1.0
17,0.8658115247312843,0.0166499779861641,0.9872168879768793,"(1, 1)",2,True,10.0
18,0.8657249446447043,0.016672595001066295,0.9872168879768793,"(1, 1)",2,False,10.0
19,0.8620537080816693,0.02221009681359204,0.9935943005343578,"(1, 2)",1,False,0.1
19,0.8620537080816693,0.02221009681359204,0.9935943005343578,"(1, 2)",1,True,0.1
21,0.8522589959797658,0.03146502813184717,0.9472963227452974,"(1, 1)",2,False,0.1
21,0.8522589959797658,0.03146502813184717,0.9472963227452974,"(1, 1)",2,True,0.1
23,0.8473350918436395,0.02892656314170064,0.9542129748296247,"(1, 2)",2,False,0.1
23,0.8473350918436395,0.02892656314170064,0.9542129748296247,"(1, 2)",2,True,0.1
