rank_test_score,mean_test_score,std_test_score,mean_train_score,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__sublinear_tf,param_model__C
1,0.9198699104704214,0.01404996825185423,0.9975818484142568,"(1, 1)",1,False,10.0
1,0.9198699104704214,0.01404996825185423,0.9975818484142568,"(1, 1)",1,True,10.0
3,0.9182558324558858,0.027336030706622196,0.9975818484142568,"(1, 2)",1,True,10.0
4,0.9147143304796013,0.029949810835765645,0.9975818484142568,"(1, 2)",1,False,10.0
5,0.8871538035690939,0.024553142309801608,0.9851921781576529,"(1, 1)",1,False,1.0
5,0.8871538035690939,0.024553142309801608,0.9851921781576529,"(1, 1)",1,True,1.0
7,0.8666437580101267,0.024661510513247508,0.98641531551265,"(1, 2)",2,False,10.0
7,0.8666437580101267,0.024661510513247508,0.9864373978562814,"(1, 2)",2,True,10.0
9,0.8618890261257638,0.021672739270984967,0.9859499477301595,"(1, 1)",2,True,10.0
10,0.8604205875875579,0.021784424639791307,0.9856125494528083,"(1, 1)",2,False,10.0
11,0.8512700529765626,0.019318387202274082,0.9550532323911005,"(1, 1)",2,False,1.0
11,0.8512700529765626,0.019318387202274082,0.9550532323911005,"(1, 1)",2,True,1.0
13,0.8450370119282884,0.020758262209325588,0.9923462045940475,"(1, 2)",1,False,1.0
14,0.8448910918996798,0.02198645803555952,0.9572798489982368,"(1, 2)",2,False,1.0
14,0.8448910918996798,0.02198645803555952,0.9568938705018603,"(1, 2)",2,True,1.0
16,0.843269826669544,0.021861921728375647,0.9923462045940475,"(1, 2)",1,True,1.0
17,0.2277712171149901,0.035792422509620746,0.2613929946898027,"(1, 1)",2,False,0.1
18,0.2252909655619569,0.0368994686373398,0.2613307016246879,"(1, 1)",2,True,0.1
19,0.13675390970895163,0.04756744202796849,0.16214604153549267,"(1, 1)",1,False,0.1
19,0.13675390970895163,0.04756744202796849,0.16214604153549267,"(1, 1)",1,True,0.1
21,0.10121522110435496,0.00942309614667387,0.11420434386223403,"(1, 2)",2,False,0.1
21,0.10121522110435496,0.00942309614667387,0.11420434386223403,"(1, 2)",2,True,0.1
23,0.03379448032883148,0.00010334703464474347,0.03570278182589034,"(1, 2)",1,False,0.1
23,0.03379448032883148,0.00010334703464474347,0.03570278182589034,"(1, 2)",1,True,0.1
